STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3879;19480101;-999;-999;-999;    5;  14.6;   7;-999;   4;   8.0;   4.8;  971.20;   -2.4;   94.00;    0.0;   -5.0;-999;eor
       3879;19480102;-999;-999;-999;    5;  31.0;   8;-999;  13;   8.0;   6.5;  965.00;    1.1;  100.00;    1.8;   -2.0;-999;eor
       3879;19480103;-999;-999;-999;    5;  37.8;   1;-999;   6;   8.0;  10.4;  965.80;    8.0;   99.00;    9.4;    1.0;-999;eor
       3879;19480104;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.0;   9.3;  965.20;    6.8;   87.00;   12.4;    3.2;-999;eor
       3879;19480105;-999;-999;-999;    5;   0.5;   1;-999;   0;   7.7;   6.9;  955.20;    5.6;   85.00;    9.4;   -0.6;-999;eor
       3879;19480106;-999;-999;-999;    5;   0.2;   1;-999;   0;   7.3;   6.3;  956.60;    1.4;   89.00;    9.4;   -0.4;-999;eor
       3879;19480107;-999;-999;-999;    5;  11.9;   1;-999;   0;   6.7;   7.3;  942.70;    4.1;   89.00;    7.0;   -0.4;-999;eor
       3879;19480108;-999;-999;-999;    5;   0.5;   8;-999;   0;   7.3;   5.9;  948.00;    4.6;   67.00;    6.0;    3.4;-999;eor
       3879;19480109;-999;-999;-999;    5;   0.0;   1;-999;   0;   4.7;   5.3;  958.80;    1.1;   78.00;    4.9;   -1.0;-999;eor
       3879;19480110;-999;-999;-999;    5;   1.0;   1;-999;   0;   8.0;   5.5;  957.20;    2.6;   76.00;    6.8;   -1.5;-999;eor
       3879;19480111;-999;-999;-999;    5;   0.0;   0;-999;   0;   6.0;   5.9;  964.70;    2.6;   80.00;    4.5;    1.4;-999;eor
       3879;19480112;-999;-999;-999;    5;  10.9;   1;-999;   0;   8.0;   6.7;  964.30;    4.5;   84.00;    7.0;    0.2;-999;eor
       3879;19480113;-999;-999;-999;    5;   1.0;   1;-999;   0;   8.0;   8.3;  961.50;    9.6;   71.00;   11.0;    3.8;-999;eor
       3879;19480114;-999;-999;-999;    5;  23.2;   8;-999;   0;   7.7;   6.9;  957.80;    3.4;   84.00;   10.5;    0.0;-999;eor
       3879;19480115;-999;-999;-999;    5;   4.1;   7;-999;  18;   8.0;   6.3;  953.50;    0.4;  100.00;    1.5;   -0.6;-999;eor
       3879;19480116;-999;-999;-999;    5;   1.3;   7;-999;  13;   8.0;   6.3;  953.20;    0.5;   99.00;    2.0;   -1.0;-999;eor
       3879;19480117;-999;-999;-999;    5;   0.0;   0;-999;  11;   8.0;   5.1;  959.10;   -0.9;   88.00;    0.6;   -2.6;-999;eor
       3879;19480118;-999;-999;-999;    5;   0.1;   7;-999;  10;   6.3;   5.3;  954.30;   -0.2;   90.00;    1.0;   -4.6;-999;eor
